customer_id,email,phone,user_id,last_name,first_name,account_type,customer_status,referrer_code,create_time,update_time
309d3d478519c37f0d0611f6f86431ae,khoainv@gmail.com,12345678990,khoainv@gmail.com,NTQ,Nguyen,INDIVIDUAL,ACTIVE,"",2024-12-31 04:44:23.323000,2024-12-31 04:44:23.330000
65f187d787cec856ffaa0e9849bbb767,neville.hilpert@example.com,+16108031078,neville.hilpert@example.com,Ortiz,Martin,INDIVIDUAL,ACTIVE,"",2024-12-30 08:45:54.380000,2024-12-30 08:45:54.380000
6c911c567b4f27888eb951166fc2d8b3,shaunna.sporer@example.com,+19952338141,shaunna.sporer@example.com,Gibson,Ollie,INDIVIDUAL,ACTIVE,"",2024-12-30 08:45:51.589000,2024-12-30 08:45:51.590000
154c891250eb3e231e382b72e87a9a84,ali.leannon@example.com,+10760262275,ali.leannon@example.com,Vandervort,Dorcas,INDIVIDUAL,ACTIVE,"",2024-12-30 08:45:48.457000,2024-12-30 08:45:48.457000
e7af9243160d1c0b599475c0ec115c5c,wilmer.yost@example.com,+12373698307,wilmer.yost@example.com,Shields,Theo,INDIVIDUAL,ACTIVE,"",2024-12-30 08:45:45.777000,2024-12-30 08:45:45.777000
baee9b4acc9b79ec4d39fb9b64d759dc,jeremy.kerluke@example.com,+11810426424,jeremy.kerluke@example.com,Toy,Harry,INDIVIDUAL,ACTIVE,"",2024-12-30 08:45:41.479000,2024-12-30 08:45:41.479000
53e46b67650e785b2f7762719d153fb3,nathaniel.sipes@example.com,+18179330036,nathaniel.sipes@example.com,Morar,Delorse,INDIVIDUAL,ACTIVE,"",2024-12-30 08:45:38.480000,2024-12-30 08:45:38.481000
36aa43b75ea24712b027e5b2991e93cf,hilton.monahan@example.com,+10063248356,hilton.monahan@example.com,Spinka,Meta,INDIVIDUAL,ACTIVE,"",2024-12-30 08:45:34.281000,2024-12-30 08:45:34.282000
34d03b157b3087bf633f97c63aa7a1f2,dung.altenwerth@example.com,+18036058733,dung.altenwerth@example.com,Borer,Eloy,INDIVIDUAL,ACTIVE,"",2024-12-30 08:45:31.184000,2024-12-30 08:45:31.184000
fb7e9dcda80ff7c523d7a61c13c5e636,lanny.walsh@example.com,+13956273440,lanny.walsh@example.com,Lindgren,Lyndon,INDIVIDUAL,ACTIVE,"",2024-12-30 08:45:28.469000,2024-12-30 08:45:28.469000
a27c823fc7b43ded00ea59a2f5ae88ad,rayford.welch@example.com,+15100427090,rayford.welch@example.com,Murazik,Ulrike,INDIVIDUAL,ACTIVE,"",2024-12-30 08:45:23.426000,2024-12-30 08:45:23.426000
f38cc847b2e3cb3d699da0ad2bfce3b8,vicente.stark@example.com,+14712239838,vicente.stark@example.com,McLaughlin,Grover,INDIVIDUAL,ACTIVE,"",2024-12-30 08:45:20.599000,2024-12-30 08:45:20.600000
412769d86ba492377404c09bab77e2a8,jason.bahringer@example.com,+15074768976,jason.bahringer@example.com,Howell,Alisia,INDIVIDUAL,ACTIVE,"",2024-12-30 08:45:18.165000,2024-12-30 08:45:18.165000
925fe1b425b8d0dd1f5c03f06d67f210,carmel.quigley@example.com,+11802547984,carmel.quigley@example.com,Wiza,Lashell,INDIVIDUAL,ACTIVE,"",2024-12-30 08:45:15.416000,2024-12-30 08:45:15.416000
2b19c258b3df2657fd1c9fdfdb84f431,terry.greenholt@example.com,+11659874108,terry.greenholt@example.com,Nader,Francisco,INDIVIDUAL,ACTIVE,"",2024-12-30 08:45:12.424000,2024-12-30 08:45:12.424000
10631118f2e4c866e7702fe7ab76624c,bryan.howe@example.com,+19874411205,bryan.howe@example.com,Prohaska,Arianne,INDIVIDUAL,ACTIVE,"",2024-12-30 08:45:09.698000,2024-12-30 08:45:09.698000
db02d11e5b5fb6997c39e71ccf9d58e3,marcellus.schaden@example.com,+12218974516,marcellus.schaden@example.com,Cremin,Devin,INDIVIDUAL,ACTIVE,"",2024-12-30 08:45:07.064000,2024-12-30 08:45:07.065000
09c203e944e19711760e593f0b79a193,quyen.nikolaus@example.com,+11928711234,quyen.nikolaus@example.com,Schmitt,Rebeca,INDIVIDUAL,ACTIVE,"",2024-12-30 08:45:03.272000,2024-12-30 08:45:03.272000
e2a1887af87fe64d03d94881f653270f,kris.dibbert@example.com,+10126072249,kris.dibbert@example.com,Lang,Brinda,INDIVIDUAL,ACTIVE,"",2024-12-30 08:44:59.105000,2024-12-30 08:44:59.105000
9ec4ad29ba60db38276f73f46e450670,aldo.ritchie@example.com,+16078130024,aldo.ritchie@example.com,Schneider,Chan,INDIVIDUAL,ACTIVE,"",2024-12-30 08:44:55.853000,2024-12-30 08:44:55.853000
8860d7d3f83e574c0ac66dc5323ac0a2,clair.stroman@example.com,+19934797657,clair.stroman@example.com,Beatty,Vernon,INDIVIDUAL,ACTIVE,"",2024-12-30 08:44:52.802000,2024-12-30 08:44:52.803000
e20be017aa6668e9a6fe08d5a37d4ce2,herman.collins@example.com,+13647873583,herman.collins@example.com,Dare,Morgan,INDIVIDUAL,ACTIVE,"",2024-12-30 08:44:49.620000,2024-12-30 08:44:49.620000
a829660c2f88ca070a4a2f66bfef34dc,imelda.jacobson@example.com,+14258009702,imelda.jacobson@example.com,Zulauf,Sylvester,INDIVIDUAL,ACTIVE,"",2024-12-30 08:44:45.982000,2024-12-30 08:44:45.982000
b70e7c92f3ec6d5f165ab6fc77ba4e56,archie.hodkiewicz@example.com,+17964659490,archie.hodkiewicz@example.com,Streich,Corrina,INDIVIDUAL,ACTIVE,"",2024-12-30 08:44:42.248000,2024-12-30 08:44:42.248000
9bf88537765b3705118d35f0acbff0f4,dwayne.gutmann@example.com,+12445168421,dwayne.gutmann@example.com,Lemke,Rolland,INDIVIDUAL,ACTIVE,"",2024-12-30 08:44:38.230000,2024-12-30 08:44:38.231000
72464d7b7a4e09e47348f7e2b634cf33,corrin.lindgren@example.com,+13744078290,corrin.lindgren@example.com,Rice,Lennie,INDIVIDUAL,ACTIVE,"",2024-12-30 08:41:17.244000,2024-12-30 08:41:17.244000
