currency,is_active,is_member,is_tax_liability,create_time,update_time,alternate_email,alternate_phone,channel_customer_id,channel_type,company_name,customer_id,order_item_id,customer_status,customer_type,display_name,entity,family_name,fax,field,first_name,fully_qualified_name,hash_code,installation_id,last_name,middle_name,mobile,name_suffix,primary_email,primary_phone,title_name,user_id,value,web_addr
USD,Y,Y,Y,,,,,7077706236089,,,571da871e422fafdb7f1920522784445,,ACTIVE,INDIVIDUAL,,CollectOrderItem,,,order_item_id,Duc,,543393cb08f41bb90f6ce4207f628553,,Ngo,,,,duc.ngo@ntq-solution.com.vn,+821046772909,,duc.ngo@ntq-solution.com.vn,0105434100051-0101,
USD,Y,Y,Y,,,,,7077706236089,,,571da871e422fafdb7f1920522784445,,ACTIVE,INDIVIDUAL,,CollectOrderItem,,,order_item_id,Duc,,b1188f8c76ba1d9574317fbc9d50ade1,,Ngo,,,,duc.ngo@ntq-solution.com.vn,+821046772909,,duc.ngo@ntq-solution.com.vn,0105434100047-0201,
USD,Y,Y,Y,,,,,7077706236089,,,571da871e422fafdb7f1920522784445,,ACTIVE,INDIVIDUAL,,CollectOrderItem,,,order_item_id,Duc,,5bf3429155ec5a0831bfadc64f22cb27,,Ngo,,,,duc.ngo@ntq-solution.com.vn,+821046772909,,duc.ngo@ntq-solution.com.vn,0105434100047-0101,
USD,Y,Y,Y,,,,,7255722655929,,,202c6ea13a319674e4987e01a767df0e,,ACTIVE,INDIVIDUAL,,CollectOrderItem,,,order_item_id,Nammmm,,923a52057ae717d8d0bb2ee2b55e4b5f,,Nguyennnn,,,,nam.nguyen12+test2@ntq-solution.com.vn,+821046772909,,nam.nguyen12+test2@ntq-solution.com.vn,0105434100046-0101,
USD,Y,Y,Y,,,,,7255722655929,,,202c6ea13a319674e4987e01a767df0e,,ACTIVE,INDIVIDUAL,,CollectOrderItem,,,order_item_id,Nammmm,,9c874b7d7c41c3f720053be994752dfc,,Nguyennnn,,,,nam.nguyen12+test2@ntq-solution.com.vn,+821046772909,,nam.nguyen12+test2@ntq-solution.com.vn,0105434100045-0202,
USD,Y,Y,Y,,,,,7255722655929,,,202c6ea13a319674e4987e01a767df0e,,ACTIVE,INDIVIDUAL,,CollectOrderItem,,,order_item_id,Nammmm,,41edabfc3314879b6fe4dd62f89e832d,,Nguyennnn,,,,nam.nguyen12+test2@ntq-solution.com.vn,+821046772909,,nam.nguyen12+test2@ntq-solution.com.vn,0105434100045-0102,
USD,Y,Y,Y,,,,,7077706236089,,,571da871e422fafdb7f1920522784445,,ACTIVE,INDIVIDUAL,,CollectOrderItem,,,order_item_id,Duc,,83d019aaf7db0d1fa31d3612b3d8e54d,,Ngo,,,,duc.ngo@ntq-solution.com.vn,+821046772909,,duc.ngo@ntq-solution.com.vn,0105434100044-0302,
USD,Y,Y,Y,,,,,7077706236089,,,571da871e422fafdb7f1920522784445,,ACTIVE,INDIVIDUAL,,CollectOrderItem,,,order_item_id,Duc,,070687f62d2a983a3a34f64b0777138e,,Ngo,,,,duc.ngo@ntq-solution.com.vn,+821046772909,,duc.ngo@ntq-solution.com.vn,0105434100044-0102,
USD,Y,Y,Y,,,,,7077706236089,,,571da871e422fafdb7f1920522784445,,ACTIVE,INDIVIDUAL,,CollectOrderItem,,,order_item_id,Duc,,e91d42678983903a757cbde59a5b31d1,,Ngo,,,,duc.ngo@ntq-solution.com.vn,+821046772909,,duc.ngo@ntq-solution.com.vn,0105434100044-0202,
USD,Y,Y,Y,,,,,7077706236089,,,571da871e422fafdb7f1920522784445,,ACTIVE,INDIVIDUAL,,CollectOrderItem,,,order_item_id,Duc,,82006d9e54cb53a40c327228b9174c7b,,Ngo,,,,duc.ngo@ntq-solution.com.vn,+821046772909,,duc.ngo@ntq-solution.com.vn,0105434100043-0501,
USD,Y,Y,Y,,,,,7077706236089,,,571da871e422fafdb7f1920522784445,,ACTIVE,INDIVIDUAL,,CollectOrderItem,,,order_item_id,Duc,,a0c7ed5f154917b7763a4e9d572ee6fd,,Ngo,,,,duc.ngo@ntq-solution.com.vn,+821046772909,,duc.ngo@ntq-solution.com.vn,0105434100043-0601,
USD,Y,Y,Y,,,,,7077706236089,,,571da871e422fafdb7f1920522784445,,ACTIVE,INDIVIDUAL,,CollectOrderItem,,,order_item_id,Duc,,3ee992db51f5c4a6217783e0ca5e8e55,,Ngo,,,,duc.ngo@ntq-solution.com.vn,+821046772909,,duc.ngo@ntq-solution.com.vn,0105434100043-0201,
USD,Y,Y,Y,,,,,7077706236089,,,571da871e422fafdb7f1920522784445,,ACTIVE,INDIVIDUAL,,CollectOrderItem,,,order_item_id,Duc,,905d09f5c3d1417749b38383ecd3a5f2,,Ngo,,,,duc.ngo@ntq-solution.com.vn,+821046772909,,duc.ngo@ntq-solution.com.vn,0105434100043-0301,
