id,email,phone,user_id,last_name,first_name,create_time,create_user,update_time,update_user,account_type,customer_status,channel_customer_id,referrer_code,member_id
d95f8ed6c3d8279fd7adcbf0017c0f51,rey.fritsch@yahoo.com,1-630-406-7372,rey.fritsch@yahoo.com,Walsh,Leana,2024-06-28 08:20:13.625219,test,2024-06-28 08:20:13.649296,test,INDIVIDUAL,ACTIVE,,,
4e9fb69ba988cd1582e9025ac23a47d5,everette.will@gmail.com,813.724.3489,everette.will@gmail.com,Hudson,Augustine,2024-06-28 08:21:49.849902,test,2024-06-28 08:21:49.870446,test,INDIVIDUAL,ACTIVE,,,
32d1f1f0923e3b9a7ec70f93a9a20538,ramiro.reilly@gmail.com,(510) 330-3962,ramiro.reilly@gmail.com,Frami,Yuonne,2024-06-28 08:21:56.260078,test,2024-06-28 08:21:56.260840,test,INDIVIDUAL,ACTIVE,,,
297851b399edbed97444aa41d0636d0c,mckinley.fahey@hotmail.com,(956) 337-5687,mckinley.fahey@hotmail.com,Hahn,Lee,2024-06-28 08:22:01.581117,test,2024-06-28 08:22:01.581703,test,INDIVIDUAL,ACTIVE,,,
10c4845bd3de3ac47d6510f5c11aa2e8,matha.hackett@yahoo.com,517.331.3820,matha.hackett@yahoo.com,Sipes,Quentin,2024-06-28 08:22:07.500828,test,2024-06-28 08:22:07.501389,test,INDIVIDUAL,ACTIVE,,,
3800c0dd2e694a68a3afe64aa388d72e,kelsey.romaguera@hotmail.com,(757) 520-0492,kelsey.romaguera@hotmail.com,Borer,Ashly,2024-06-28 08:22:13.173596,test,2024-06-28 08:22:13.174149,test,INDIVIDUAL,ACTIVE,,,
79dd91f328815d36c069c96730c99333,shila.hyatt@gmail.com,224.763.0103,shila.hyatt@gmail.com,Brakus,Detra,2024-06-28 08:22:18.389079,test,2024-06-28 08:22:18.389558,test,INDIVIDUAL,ACTIVE,,,
1413519b97720663eda565e210dc3ac2,gregory.nader@hotmail.com,302.954.7469,gregory.nader@hotmail.com,Carter,Russ,2024-06-28 08:22:23.781870,test,2024-06-28 08:22:23.782624,test,INDIVIDUAL,ACTIVE,,,
6ee9d35e6782ecad9f87e04f4f09b6d7,dominick.erdman@yahoo.com,985-254-4001,dominick.erdman@yahoo.com,Huels,Charles,2024-06-28 08:22:28.565142,test,2024-06-28 08:22:28.565669,test,INDIVIDUAL,ACTIVE,,,
e2c2bf1c2ef46a2e3f0c0d46ba59b745,justa.abernathy@yahoo.com,(623) 704-2945,justa.abernathy@yahoo.com,Medhurst,Dexter,2024-06-28 08:22:33.639767,test,2024-06-28 08:22:33.640198,test,INDIVIDUAL,ACTIVE,,,
74051bb8f56964557d386ab07064d18b,sunny.zulauf@gmail.com,786.860.6001,sunny.zulauf@gmail.com,Beahan,Danelle,2024-06-28 08:22:38.445931,test,2024-06-28 08:22:38.446406,test,INDIVIDUAL,ACTIVE,,,
65372fdb9c029b81f5ecbfe0e1a9c10c,russell.boehm@hotmail.com,732-386-1637,russell.boehm@hotmail.com,Lowe,Haywood,2024-06-28 08:22:43.585778,test,2024-06-28 08:22:43.586339,test,INDIVIDUAL,ACTIVE,,,
774da54957346df9ca12412c8df45555,dudley.rowe@yahoo.com,(281) 757-8239,dudley.rowe@yahoo.com,Shanahan,Darcel,2024-06-28 08:23:11.347826,test,2024-06-28 08:23:11.348259,test,INDIVIDUAL,ACTIVE,,,
5f8269b82490bc46c0332113fa89a304,ted.strosin@gmail.com,563.970.2750,ted.strosin@gmail.com,Pfannerstill,Gricelda,2024-06-28 08:23:17.148014,test,2024-06-28 08:23:17.149914,test,INDIVIDUAL,ACTIVE,,,
a4e8094bc1ad2ebb9268220350e3db8a,chris.erdman@gmail.com,804-321-3238,chris.erdman@gmail.com,Gutkowski,Jamal,2024-06-28 08:23:22.194312,test,2024-06-28 08:23:22.194797,test,INDIVIDUAL,ACTIVE,,,
f89a54fb2d6be4530f341b438e24da9e,emil.weber@gmail.com,1-910-731-8388,emil.weber@gmail.com,Bayer,Fletcher,2024-06-28 08:23:27.784097,test,2024-06-28 08:23:27.784627,test,INDIVIDUAL,ACTIVE,,,
bb8d9e7a7ce0cab3c7e0190c1b69ad77,zachery.wintheiser@yahoo.com,1-313-502-6046,zachery.wintheiser@yahoo.com,Kunde,Annette,2024-06-28 08:23:32.934887,test,2024-06-28 08:23:32.935307,test,INDIVIDUAL,ACTIVE,,,
33ab38ba8249d88cdcc884dee76e326c,andreas.ward@gmail.com,(484) 650-3088,andreas.ward@gmail.com,Cummings,Mathew,2024-06-28 08:23:38.136542,test,2024-06-28 08:23:38.137388,test,INDIVIDUAL,ACTIVE,,,
3f37a87fa3c20145f0f72d1a118d8380,gertude.glover@hotmail.com,1-310-248-5724,gertude.glover@hotmail.com,Parisian,Shane,2024-06-28 08:23:43.205610,test,2024-06-28 08:23:43.206092,test,INDIVIDUAL,ACTIVE,,,
eb5b3143403edc380e79c0a1717f2a24,wilson.reichel@gmail.com,1-858-207-7372,wilson.reichel@gmail.com,Schoen,Ricardo,2024-06-28 08:23:47.996307,test,2024-06-28 08:23:47.996786,test,INDIVIDUAL,ACTIVE,,,
e72a4566535364dfcdce307f772de10e,arden.lubowitz@gmail.com,(413) 913-3628,arden.lubowitz@gmail.com,Rice,Micaela,2024-06-28 08:23:52.960700,test,2024-06-28 08:23:52.961214,test,INDIVIDUAL,ACTIVE,,,
afdd9770dd703903fd6d5e1523ea26a3,andra.hartmann@gmail.com,650-630-5968,andra.hartmann@gmail.com,Goodwin,Myron,2024-06-28 08:23:58.458184,test,2024-06-28 08:23:58.458777,test,INDIVIDUAL,ACTIVE,,,
a8ab040bb11105ee1382e96bdaf38bfb,leonel.wyman@yahoo.com,773-606-1415,leonel.wyman@yahoo.com,Grimes,Tyree,2024-06-28 08:24:03.835025,test,2024-06-28 08:24:03.835420,test,INDIVIDUAL,ACTIVE,,,
61b395b47548c64d503477bb976d3d8e,sheldon.hill@gmail.com,(813) 607-3450,sheldon.hill@gmail.com,Watsica,Sheena,2024-06-28 08:24:08.698373,test,2024-06-28 08:24:08.698784,test,INDIVIDUAL,ACTIVE,,,
3cec543a6eacdd2480fd2244ef74f464,pete.sauer@yahoo.com,1-602-501-9790,pete.sauer@yahoo.com,Walter,Jere,2024-06-28 08:45:17.076579,test,2024-06-28 08:45:17.077333,test,INDIVIDUAL,ACTIVE,,,
e6c327929ce4b6f9572082b9f87eb828,jacinto.stark@yahoo.com,1-917-206-8847,jacinto.stark@yahoo.com,Lemke,Lourdes,2024-06-28 08:46:33.617045,test,2024-06-28 08:46:33.617516,test,INDIVIDUAL,ACTIVE,,,
e48aca3840ed42dd11d49faa9fb22202,tamra.mccullough@yahoo.com,(551) 972-9157,tamra.mccullough@yahoo.com,Hoppe,Elden,2024-06-28 08:46:39.345102,test,2024-06-28 08:46:39.345709,test,INDIVIDUAL,ACTIVE,,,
ee8bb146f4b2cb1b7d496dbf5be325e2,harold.maggio@yahoo.com,772.970.2738,harold.maggio@yahoo.com,Mante,Dario,2024-06-28 08:46:44.633625,test,2024-06-28 08:46:44.634126,test,INDIVIDUAL,ACTIVE,,,
eb5146716150f15d60279712a442340b,wendell.armstrong@gmail.com,606-510-5241,wendell.armstrong@gmail.com,Shanahan,Caleb,2024-06-28 08:46:49.588284,test,2024-06-28 08:46:49.588664,test,INDIVIDUAL,ACTIVE,,,
bce2bca3fbe89ffbdda82677d22f29d6,lorenza.paucek@gmail.com,(903) 909-8280,lorenza.paucek@gmail.com,Huels,Marcos,2024-06-28 08:46:54.771429,test,2024-06-28 08:46:54.771849,test,INDIVIDUAL,ACTIVE,,,
9c0897e76f0c21c6e55da4809741f068,ailene.homenick@hotmail.com,229.940.0120,ailene.homenick@hotmail.com,Rippin,Randell,2024-06-28 08:47:00.046209,test,2024-06-28 08:47:00.046593,test,INDIVIDUAL,ACTIVE,,,
c882c2cf4fa00693d72db09186b19ee6,claudio.schuster@hotmail.com,706.831.5953,claudio.schuster@hotmail.com,Block,Clyde,2024-06-28 08:47:05.560091,test,2024-06-28 08:47:05.560553,test,INDIVIDUAL,ACTIVE,,,
a22766aad6cc80c493ccae68869b9cd2,milton.boyer@gmail.com,240.505.7456,milton.boyer@gmail.com,Upton,Hermila,2024-06-28 08:47:10.536040,test,2024-06-28 08:47:10.536472,test,INDIVIDUAL,ACTIVE,,,
