hash_code,customer_id,title_name,first_name,middle_name,last_name,family_name,name_suffix,fully_qualified_name,company_name,display_name,user_id,primary_phone,alternate_phone,mobile,fax,primary_email,alternate_email,web_addr,entity,field,value,channel_customer_id,customer_status,channel_type,customer_type,is_tax_liability,currency,installation_id,referrer_code,create_time,update_time,is_active
3c68eb61b6b248b54acca546b4a86bd0,309d3d478519c37f0d0611f6f86431ae,,Nguyen,,NTQ,,,,,,khoainv@gmail.com,12345678990,,,,khoainv@gmail.com,,,,,,gid://shopify/Customer/8780599558454,ACTIVE,,INDIVIDUAL,Y,USD,,,2024-12-31 04:44:23.323000 +00:00,2024-12-31 04:44:23.330000 +00:00,Y
2802f609a67285f54d8bba60f0801d14,65f187d787cec856ffaa0e9849bbb767,,Martin,,Ortiz,,,,,,neville.hilpert@example.com,+16108031078,,,,neville.hilpert@example.com,,,,,,karate-neville.hilpert@example.com,ACTIVE,,INDIVIDUAL,Y,USD,,,2024-12-30 08:45:54.380000 +00:00,2024-12-30 08:45:54.380000 +00:00,Y
4d51f1693a1e87467750ec8f422f1e97,6c911c567b4f27888eb951166fc2d8b3,,Ollie,,Gibson,,,,,,shaunna.sporer@example.com,+19952338141,,,,shaunna.sporer@example.com,,,,,,karate-shaunna.sporer@example.com,ACTIVE,,INDIVIDUAL,Y,USD,,,2024-12-30 08:45:51.589000 +00:00,2024-12-30 08:45:51.590000 +00:00,Y
c16d9cb498be40f1a40fcf863a73745d,154c891250eb3e231e382b72e87a9a84,,Dorcas,,Vandervort,,,,,,ali.leannon@example.com,+10760262275,,,,ali.leannon@example.com,,,,,,karate-ali.leannon@example.com,ACTIVE,,INDIVIDUAL,Y,USD,,,2024-12-30 08:45:48.457000 +00:00,2024-12-30 08:45:48.457000 +00:00,Y
240ef66abc92f052742c47e574772588,e7af9243160d1c0b599475c0ec115c5c,,Theo,,Shields,,,,,,wilmer.yost@example.com,+12373698307,,,,wilmer.yost@example.com,,,,,,karate-wilmer.yost@example.com,ACTIVE,,INDIVIDUAL,Y,USD,,,2024-12-30 08:45:45.777000 +00:00,2024-12-30 08:45:45.777000 +00:00,Y
dd81b353ea4f65bfa540db80662f011e,baee9b4acc9b79ec4d39fb9b64d759dc,,Harry,,Toy,,,,,,jeremy.kerluke@example.com,+11810426424,,,,jeremy.kerluke@example.com,,,,,,karate-jeremy.kerluke@example.com,ACTIVE,,INDIVIDUAL,Y,USD,,,2024-12-30 08:45:41.479000 +00:00,2024-12-30 08:45:41.479000 +00:00,Y
17baedd996535da3d3587b8ce9956924,53e46b67650e785b2f7762719d153fb3,,Delorse,,Morar,,,,,,nathaniel.sipes@example.com,+18179330036,,,,nathaniel.sipes@example.com,,,,,,karate-nathaniel.sipes@example.com,ACTIVE,,INDIVIDUAL,Y,USD,,,2024-12-30 08:45:38.480000 +00:00,2024-12-30 08:45:38.481000 +00:00,Y
3e34763334c1ca5ff164a694455e38b1,36aa43b75ea24712b027e5b2991e93cf,,Meta,,Spinka,,,,,,hilton.monahan@example.com,+10063248356,,,,hilton.monahan@example.com,,,,,,karate-hilton.monahan@example.com,ACTIVE,,INDIVIDUAL,Y,USD,,,2024-12-30 08:45:34.281000 +00:00,2024-12-30 08:45:34.282000 +00:00,Y
219b19ee133c0278b8607155248c3f4d,34d03b157b3087bf633f97c63aa7a1f2,,Eloy,,Borer,,,,,,dung.altenwerth@example.com,+18036058733,,,,dung.altenwerth@example.com,,,,,,karate-dung.altenwerth@example.com,ACTIVE,,INDIVIDUAL,Y,USD,,,2024-12-30 08:45:31.184000 +00:00,2024-12-30 08:45:31.184000 +00:00,Y
352cafdecf68c2cbd1b02b7ef861f13f,fb7e9dcda80ff7c523d7a61c13c5e636,,Lyndon,,Lindgren,,,,,,lanny.walsh@example.com,+13956273440,,,,lanny.walsh@example.com,,,,,,karate-lanny.walsh@example.com,ACTIVE,,INDIVIDUAL,Y,USD,,,2024-12-30 08:45:28.469000 +00:00,2024-12-30 08:45:28.469000 +00:00,Y
