hash_code,entity,field,value,title_name,first_name,middle_name,last_name,family_name,name_suffix,fully_qualified_name,company_name,display_name,user_id,primary_phone,alternate_phone,mobile,fax,primary_email,alternate_email,web_addr,branch_id,warehouse_id,latitude,longitude,city,country,country_code,zip_code,state,county,address1,address2,location_remark,total_price,discount_price,item_price,prepaid_amount,tax,registration_price,currency,is_tax_exempt,invoice_id,receipt_id,charge_id,deposit_id,transaction_id,installment_months,item_monthly_price,monthly_discount_price,monthly_tax,monthly_total_price,subscription_receipt_day,receipt_time,billing_type,card_number,card_type,receipt_method,remark,create_time,update_time,is_active
80dcfdad0af8a603ff26e5bf9743dcd4,CollectOrder,order_id,0105436500008,,T**g,,N****n,,,,,,,6024***544,,,,tun*************@ntq-solution.com.vn,,,,,,,Houston,,,77021,TX,,add1,****,,5845.5200,0.0000,5400.0000,0.0000,445.5200,0.0000,USD,N,,,,,6959116124345,,,,,,,2024-12-30 04:04:39.000000 +00:00,,•••• •••• •••• 4242,Visa,CREDIT_CARD,,,,Y
ca64fe5f372dffb501aacc7e709f4180,CollectOrder,order_id,0105436500006,,T**g,,N****n,,,,,,,1231***2234,,,,tun************@ntq-solution.com.vn,,,,,,,Houston,,,77069,TX,,address 1,*********,,5845.5200,0.0000,5400.0000,0.0000,445.5200,0.0000,USD,N,,,,,6959106752697,,,,,,,2024-12-30 03:54:02.000000 +00:00,,•••• •••• •••• 1111,Visa,CREDIT_CARD,,,,Y
28acc52a3a919e6d2dc986eb5bfdfc32,CollectOrder,order_id,0105436100025,,t**y,,l*,,,,,,,+1212***1234,,,,thu*****@ntq-solution.com.vn,,,,,,,Houston,,,77021,TX,,hn,**,,8768.2500,0.0000,8100.0000,0.0000,668.2500,0.0000,USD,N,,,,,6954931716281,,,,,,,2024-12-26 10:16:08.000000 +00:00,,•••• •••• •••• 4444,Mastercard,CREDIT_CARD,,,,Y
89105d3284dab68b5c79b4f272996cbb,CollectOrder,order_id,0105436100016,,H**h,,N****n,,,,,,,+1602***6543,,,,han**************@ntq-solution.com.vn,,,,,,,Houston,,,77021,TX,,3333 Raleigh St,**********************,,1461.3800,0.0000,1350.0000,0.0000,111.3800,0.0000,USD,N,,,,,6954874339513,,,,,,,2024-12-26 08:20:51.000000 +00:00,,•••• •••• •••• 4242,Visa,CREDIT_CARD,,,,Y
d12a89ee1f4aa87a8a472d680a55661d,CollectOrder,order_id,0105435800004,,H**h,,N****n,,,,,,,+1602***6543,,,,han**************@ntq-solution.com.vn,,,,,,,Houston,,,77021,TX,,3333 raleigh st.,**********************,,7306.8800,0.0000,6750.0000,0.0000,556.8800,0.0000,USD,N,,,,,6951106314425,,,,,,,2024-12-23 03:33:46.000000 +00:00,,•••• •••• •••• 4242,Visa,CREDIT_CARD,,,,Y
33c07b72775f6b2c0fdc15306169351e,CollectOrder,order_id,0105435200061,,K**n,,N****n,,,,,,,1212***1234,,,,kie************@ntq-solution.com.vn,,,,,,,Houston,,,77021,TX,,3333 raleigh st.,****************,,1078.1700,0.0000,1078.1700,0.0000,82.1700,0.0000,USD,N,,,,,6944390250681,,,,,,,2024-12-17 10:31:53.000000 +00:00,,•••• •••• •••• 4242,Visa,CREDIT_CARD,,,,Y
8d46425a4603a0b59e862c7a1551d17d,CollectOrder,order_id,0105435200006,,s****e,,j***g,,,,,,,1234***8111,,,,t24*****@partner.coway.com,,,,,,,Houston,,,77099,TX,,12822 Crow Valley Ln,***,,1461.3800,0.0000,1461.3800,0.0000,111.3800,0.0000,USD,N,,,,,gid://shopify/OrderTransaction/7075279405272,,,,,,,2024-12-17 03:37:11.000000 +00:00,,•••• •••• •••• 4242,Visa,CREDIT_CARD,,,,Y
f5df915b30814fec941e275fd4d0bb4c,CollectOrder,order_id,0105435200001,,H***1,,N*****2,,,,,,,+1602***6543,,,,han**************@ntq-solution.com.vn,,,,,,,Houston,,,77021,TX,,3333 raleigh st.,**********************,,13184.8500,0.0000,13184.8500,0.0000,1004.8500,0.0000,USD,N,,,,,gid://shopify/OrderTransaction/7075131883736,,,,,,,2024-12-17 02:02:08.000000 +00:00,,•••• •••• •••• 5904,Diners Club,CREDIT_CARD,,,,Y
6683e3cb45290761eb9dc29fd1b76119,CollectOrder,order_id,0105435100032,,K**n,,N****n,,,,,,,1212***1234,,,,kie************@ntq-solution.com.vn,,,,,,,Houston,,,77021,TX,,3333 raleigh st.,****************,,1569.6300,0.0000,1569.6300,0.0000,119.6300,0.0000,USD,N,,,,,6942868668601,,,,,,,2024-12-16 08:21:09.000000 +00:00,,•••• •••• •••• 4242,Visa,CREDIT_CARD,,,,Y
3f442b50aae7732d86f2a1e40e5a1221,CollectOrder,order_id,0105434700021,,*,,H*********u,,,,,,,+1231***2334,,,,nhu*******@ntq-solution.com.vn,,,,,,,Houston,,,77069,TX,,ádasdasf,******,,2922.7500,0.0000,2922.7500,0.0000,222.7500,0.0000,USD,N,,,,,6936744231097,,,,,,,2024-12-12 07:33:40.000000 +00:00,,•••• •••• •••• 4242,Visa,CREDIT_CARD,,,,Y
